|Compound type|Chinese|
|------|------|
|V|乃豈,擦,共,攪,縛,呼,揩,把,碰,扯,挖,亡刀,抾,摕,拿,叨,唱,喝,巴,氽,點,互,嘔,连,宰,㰵,眠,拈,抵,㧸,數,拋,說,食,講,捉,腐,來,榨,挤,畏,乞,吃,啉,戳,落,漂浮,頓,䋎,攞,抓,睏,睡,洗,掉,飛,壓,斫,掀,想,仍,嗅,唚,咬,吮,楠,繗,𢱤,拉,打,囗,瓜,摀,漂,撕,拖,逃,歹,擔,喫,呷,掏,刺,遁,𢬮,撂,裹,摣,㖹,給,逿,㧍,吹,流,手點,吐,搲,刣,斬,甩,啡,笑,捆,行,走,啜,驚,𫦉,拍,吸,挨,丟,翻,𢱋,𪘬,砍,朵,鼻,哜,刨,诧,耍,撖,拭,無,掰,死,游,徛,烧,浮,刷,怕,抹,?,聽,唠,逮,跑,剁,剉,樂,爛,揎,搦,啄,躺,話,飲,擺,站,淌,聞,摔,立,特,汧,转,推,掠,扎,掼,杀,撥,跪,縫,嬉,玩,跌,嫽,挑,倒,嚙,居,嗍,見,坐,綁,唬|
|V V|睇見,㽹惡,擺𠲥,看着,嘔吐,扯裂,扯開,拿賜,撕裂,扯破,活絡,仈傳,撕開,腐爛,看到,縫纫,洗澡,知得,知影,游泳,𨑨迌,看倒,知道,角逆,会晓,會仈,睡倒,浮倒,呼吸,聽見,走來,晓得,聽着,帶囗,聽到,瞅見,拆扌丽,看見,漂浮,飲腐,嬉戏,囗得|
|V S|爛了,活其,睡起,捆起,打起,懂了,爛起,嘔了,吐了,立着,活葛,嘔嘞,朿見着,活着|
|V V S|發吐了|
|N N|老娘,蒙纱,翅膀,頷頸,脚爪,水果,老媽,大边,羽毛,目睭,家叉+蟲,老汉,老妪,翼毛,牙齒,济面,男仂,脂肪,葉光,圆圈,地皮,雞卵,女婿,凌冰,丈夫,塗粉,塵土,父親,骹骨,男界,骹腿,頸根,种籽,右手,天里,下黑,天上,虱母,腸子,右片,霧氣,翅光,油脂,森林,右面,腹肚,男人,乳房,天空,虱嫲,姆媽,膝蓋,黃昏,左面,娘妳,土地,老婆,男客,女官,迷露,口舌,頸項,翅𦑜,滃塵,女客,棍棍,伊姐,暝晡,婆娘,板油,夜裡,后晌,奶房,心臟,左边,頭毛,腦壳,完心,女仂,晚上,眼珠,繩索,眼睛,娭,胛脊,月光,脊背,皮膚,夜下,星星,眼,太陽,雞蛋,年份,涂地,右岸,云彩,母親,媳婦,右边,蛇哥,頭髮,奶奶,叶?,肚皮,全部,肉皮,目珠,耳朵,阿姆,女界,下昏,天頂,鼻公,小边,蟲蟻,頸骨,厝里,背脊,毛毛,翼梭,正边,暗晡,老安,腳板,嘴舌,夜晚,頭壳,月娘,肚腸,灰塵,树林,堂客,郎罷,翼膀,女人,鼻哥,树皮,老小,名字,奶婆,翼胛,鼻孔,喙齒,坌塵,脰骨,老公,星宿,扣頸,眼窝,左手,奶姑,膝盖,頭頸|
|N|腳,膀,載,心,耳,霜,江,頸,二,姐,歲,腸,霧,肝,湖,舌,數,道,肉,蜀,人,喙,角,翅,孩,骹,尾,五,蟲,冰,兩,一,星,奶,莖,頭,日,云,膝,媽,种,匝,嘴,囗,油,树,幔,膏,娘,雀,父,圆,鳥,达,𩪘,雪,草,地,盐,索,竹若,雨,火,血,娃,犬,根,手,沙,塵,肚,毛,河,皮,眼,腿,某,海,鼻,水,棍,三,灰,爺,墿,鱼,花,?,四,爷,風,煙,繩,山,狗,骨,爸,蛇,天,齒,团,棒,虱,年,叶,爹,路,月,背,爪,牙|
|N N2|沙沙,雀雀,腳腳,爸爸,崽崽,竹若竹若,皮皮,妈妈,子子,爪爪,星星,灰灰,爹爹,媽媽,索索,煙煙,娃娃,奶奶,角角,骨骨,尾尾,娒娒,渣渣,爺爺|
|N S|黑了,牙巴,骨頭,肚子,耳仔,果們,犬囝,捶仔,鳥儿,牙子,繩子,翅子,星子,种子,渣子,腸?,尾巴,果子,沙子,鳥唧,腸仔,土垃,奶仔,耳公,棍儿,娃儿,膝囗,叶子,棒儿,舌嫲,日頭,雀儿,娘們,星?,脖子,鼻子,罩子,盐巴,爪子,汉字,老子,鼻,囝仔,骨都,尾子,孩儿,虱子,树儿,索仔,沙儿,花仔,雀子,妻子,奶子,膝頭,棍子,种?,舌仔,孩子,腹老,歲頭,肚皮,天中,林子,鳥,舌頭,頸子,舌子,鼻頭,鼻仔,嘴巴,索子,翅仔,角,花儿,腸子,石頭,兜子,花?,雞子,煙子,皮子,舌头|
|V P|漂𡅏,浮𡅏|
|A|笨,寬,壞,小,重,拐,焦,嫩,短,老,彪,對,寡,白,多,冷,新,爆,凍,呆,細,肿,毛,厚,直,黃,歁,黑,雛,干,否,木,進,囗,狭,湿,远,瓜,恘,凊,綠,薄,大,賁,滿,鄙,好,紅,愚,濫,長,浮,闊,烏,平,窄,⽧臺,痞,脏,寒,潮,少,熱,操,尖|
|N N S|老娘們,老爷们,克膝头,虱婆子,肥肉子,腳饅頭,夜間子,諸娘儂,腿肚子,树林子,囗囗子,腿把子,脖颈子,沙婆子,左边儿,腳膝頭,骹腹頭,腳胐頭,手把子,褲膝頭,翼胛子|
|N A N|家主婆,天老爺,眼烏珠,娃大妈|
|N N N|波棱蓋,背骶身,簸棱盖,丈夫人,屋裡人,男人家,右手边,左手边,五爪龙,額膝骨,爺老倌,波羅蓋,丈夫儂,夜裡向,梭老二,克膝蓋,左边拉,女人家,下晚黑,眼灵珠,膝蓋骨,伲囝哥|
|N G|女的,男的|
|N V N|內當家|
|N N2 S|婆婆子|
|A N|小人,咸盐,全部,老蛇,壯肉,細儿,小嘎,长虫,先生,小孩,眾牲|
|A A V|個郎下|
|V N S|洗身儿,構棱子,泅河儿,打交儿|
|Adv|唔,勿,不,否,伓|
|C N|如果,若果|
|V V N|打比说|
|C C|假使|
|C Pron|假系,若是,要是|
|C V|若还,倘若|
|V N|跳虱,結冰,爱人,無綻,浮水,倒片,打架,打獵,吸氣,出氣,透氣,打捶,玩水,扯构,打仗,倒落,𢻕氣,得腦,洗澡,呼氣,游泳,游水,喘氣,泅水,下凜,關山,凍冰,囗水,构凌,動物,打錘,拍獵,干仗|
|A V|透流|
|Pron Pron|邊度,哪疙,俚竹+马,底隹又,什麼,我俺,狃宕|
|Pron|𪜶,者,他,迄,乜,竹固,如,那,你,哪,俚,伊,怎,俺,佢,許,囗,渠,即,回,尔,𠹼,呢,倷,这,该,歸,吾,啥,咯,誰,我,㑑,𠰻,只,佳|
|Pron Pt|何呢,什哩,甚仂|
