ID	LEXIBANK_ID	SUBGROUP	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	COGID	TONE_CLASS	TONE_VALUE	RATLIFF_LANGUAGE	RATLIFF_TOKENS	RATLIFF_INDEX	RATLIFF_COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	STRICTID	LOOSEID
45	WhiteHmong-222_theant-1	Hmongic	ANT	the ant		WhiteHmong	White Hmong	hmon1333	ⁿtʃ au ²¹³	587	191	阳上	²¹³	HmongDaw	ⁿʈʂ au ⁸/²⁴	0	966	1 7 8	AXT	TA6	12	12.T.C 12.A.V 12.6.T	1.6 3.0 1.0	ⁿtʃau²¹³	0	6	1	1
1564	EasternLuobuohe-193_ant-1	Hmongic	ANT	ant	蚂蚁	EasternLuobuohe	Luobuohe, Eastern	luop1235	tɕ i n ³¹ + ⁿb y ³³	587	191	阴平.阳平.*阳平 阴入.阳入.*阴平	³¹ ³³	Luopohe	ⁿp j u ᴰ/⁴	1	968	2 7 4 8 9 1 7 8	AXLT_AXT	CIN3_PY4	3	3.C.C 3.I.V 3.N.c 3.3.T 3._._ 3.P.C 3.Y.V 3.4.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕin³¹+ⁿby³³	0	3 2	2	1
1565	WesternLuobuohe-193_ant-1	Hmongic	ANT	ant	蚂蚁	WesternLuobuohe	Luobuohe, Western	luop1235	tɕ i n ³¹ + ⁿb ø ⁵⁵	587	191	阴平.阳平.阴入.阳入.*阳平 阴上.阳上.*阴平.*阴上.*阳上	³¹ ⁵⁵	Luopohe	ⁿp j u ᴰ/⁴	1	968	2 7 4 8 9 1 7 8	AXLT_AXT	CIN3_PU5	10	10.C.C 10.I.V 10.N.c 10.3.T 10._._ 10.P.C 10.U.V 10.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕin³¹+ⁿbø⁵⁵	0	3 2	2	1
1566	SouthernGuizhouChuanqiandian-193_ant-1	Hmongic	ANT	ant	蚂蚁	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	k u/w a ³² + ⁿp ʐ ɔ ²¹	587	191	阴平 阳入.*阳平	³² ²¹	CentralMashanHmong	ⁿp ʐ ɔ ⁸/²⁴	1	967	1 6 7 8 9 1 3 7 8	ACXT_ACXT	KWA3_PSU3	8	8.K.C 8.W.C 8.A.V 8.3.T 8._._ 8.P.C 8.S.C 8.U.V 8.3.T	1.6 1.2 3.0 1.0 0.0 1.6 1.2 3.0 1.0	ku/wa³²+ⁿpʐɔ²¹	0	4 2	3	1
1567	WesternXiangxi-193_ant-1	Hmongic	ANT	ant	蚂蚁	WesternXiangxi	Xiangxi, West	west2430	t ɑ ³⁵ + ⁿpʰ a ⁴⁴	587	59	阴平 阴上.阴入.*阴平	³⁵ ⁴⁴	WesternXiangxiMiao	ⁿpʰ a ³	1	271	1 7 8 9 1 7 8	AXT_AXT	TA2_PA5	11	11.T.C 11.A.V 11.2.T 11._._ 11.P.C 11.A.V 11.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tɑ³⁵+ⁿpʰa⁴⁴	0	6 2	4	1
1568	NorthernQiandong-193_ant-1	Hmongic	ANT	ant	蚂蚁	NorthernQiandong	Qiandong, North	nort2747	k a ŋ ³³ + z o ¹³	587	59	阴平.*阴平 阴入.*阴去.*阳去	³³ ¹³	NorthernQiandongMiao	pʰ e n ³	0	270	1 7 4 8 9 3 7 8	AXLT_AXT	KAN4_SU2	7	7.K.C 7.A.V 7.N.c 7.4.T 7._._ 7.S.C 7.U.V 7.2.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	kaŋ³³+zo¹³	0	3 1	5	1
1569	WesternBaheng-193_ant-1	Hmongic	ANT	ant	蚂蚁	WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + ȵ̥ ei ³¹	587	59	轻声 阴上	⁰/³ ³¹	PaHng	m̥ j e ³	1	273	1 7 8 9 4 7 8	AXT_AXT	KA6_NE3	9	9.K.C 9.A.V 9.6.T 9._._ 9.N.C 9.E.V 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa⁰/³+ȵ̥ei³¹	0	3 5	6	1
1570	EasternBaheng-193_ant-1	Hmongic	ANT	ant	蚂蚁	EasternBaheng	Baheng, East	pahn1237	ⁿpʰ j e ³¹³	587	59	阴上.*阴上	³¹³	PaHng	m̥ j e ³	0	273	1 6 7 8	ACXT	PJE6	2	2.P.C 2.J.C 2.E.V 2.6.T	1.6 1.2 3.0 1.0	ⁿpʰje³¹³	0	2	7	1
1571	Jiongnai-193_ant-1	Hmongic	ANT	ant	蚂蚁	Jiongnai	Jiongnai	jion1236	ⁿpʰ ai ⁵³	587	59	阴上.*阴上.*阳上	⁵³	JiongnaiBunu	ⁿpʰ ai ³	0	272	1 7 8	AXT	PA3	4	4.P.C 4.A.V 4.3.T	1.6 3.0 1.0	ⁿpʰai⁵³	0	2	7	1
1572	Mien-193_ant-1	Mienic	ANT	ant	蚂蚁	Mien	Mien	iumi1238	dz j əu ⁵³	587	610	阴上	⁵³	luMien	ɕ eu ³	0	2968	2 6 7 8	ACXT	CJE3	6	6.C.C 6.J.C 6.E.V 6.3.T	1.6 1.2 3.0 1.0	dzjəu⁵³	0	1	8	1
1573	KimMun-193_ant-1	Mienic	ANT	ant	蚂蚁	KimMun	Kim Mun	kimm1245	ʃ eu ⁵¹	587	610	阴上.阳上.*阴上.*阳上	⁵¹	KimMun	s ɔu ³	0	2969	3 7 8	AXT	SE3	5	5.S.C 5.E.V 5.3.T	1.6 3.0 1.0	ʃeu⁵¹	0	1	8	1
1574	BiaoMin-193_ant-1	Mienic	ANT	ant	蚂蚁	BiaoMin	Biao Min	biao1254	s au ³⁵	587	610	阴上	³⁵	BiaoMon	s au ³	0	2970	3 7 8	AXT	SA2	1	1.S.C 1.A.V 1.2.T	1.6 3.0 1.0	sau³⁵	0	1	8	1
1575	ZaoMin-193_ant-1	Mienic	ANT	ant	蚂蚁	ZaoMin	Zao Min	dzao1238	ʑ u ²⁴	587	610	阴上.*阳平	²⁴	DzaoMin	dz i/j u ³	0	2971	3 7 8	AXT	SY2	13	13.S.C 13.Y.V 13.2.T	1.6 3.0 1.0	ʑu²⁴	0	1	8	1
13	WhiteHmong-63_theash-1	Hmongic	ASH	the ash		WhiteHmong	White Hmong	hmon1333	tʃʰ au ³⁴	646	537	阴上	³⁴	HmongDaw	ʈʂʰ au ³	0	2636	1 7 8	AXT	TA2	12	12.T.C 12.A.V 12.2.T	1.6 3.0 1.0	tʃʰau³⁴	0	21	9	2
405	EasternLuobuohe-15_ash-1	Hmongic	ASH	ash	灰	EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + tsʰ y ⁵⁵	646	537	轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1	2638	1 7 8 9 2 7 8	AXT_AXT	HA6_CY5	3	3.H.C 3.A.V 3.6.T 3._._ 3.C.C 3.Y.V 3.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔa⁰/²+tsʰy⁵⁵	0	22 21	10	2
406	WesternLuobuohe-15_ash-1	Hmongic	ASH	ash	灰	WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + tsʰ u ⁵⁵	646	537	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1	2638	1 7 8 9 2 7 8	AXT_AXT	HE6_CY5	10	10.H.C 10.E.V 10.6.T 10._._ 10.C.C 10.Y.V 10.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔə⁰/²+tsʰu⁵⁵	0	22 21	10	2
407	SouthernGuizhouChuanqiandian-15_ash-1	Hmongic	ASH	ash	灰	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	s ɔ ²²	646	537	阴平	²²	CentralMashanHmong	s ɔ ³ᵇ/³	0	2637	3 7 8	AXT	SU1	8	8.S.C 8.U.V 8.1.T	1.6 3.0 1.0	sɔ²²	0	21	9	2
408	WesternXiangxi-15_ash-1	Hmongic	ASH	ash	灰	WesternXiangxi	Xiangxi, West	west2430	ɕ i ⁴⁴	646	537	阴上.阴入.*阴平	⁴⁴	WesternXiangxiMiao	ɕ i ³	0	2635	3 7 8	AXT	SI5	11	11.S.C 11.I.V 11.5.T	1.6 3.0 1.0	ɕi⁴⁴	0	21	9	2
409	NorthernQiandong-15_ash-1	Hmongic	ASH	ash	灰	NorthernQiandong	Qiandong, North	nort2747	q a ³⁵ + ɕʰ u ³⁵	646	537	阴上 阴上	³⁵ ³⁵	NorthernQiandongMiao	ɕʰ u ³	1	2634	1 7 8 9 3 7 8	AXT_AXT	KA2_SY2	7	7.K.C 7.A.V 7.2.T 7._._ 7.S.C 7.Y.V 7.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa³⁵+ɕʰu³⁵	0	22 21	10	2
410	WesternBaheng-15_ash-1	Hmongic	ASH	ash	灰	WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + s i ³¹	646	537	轻声 阴上	⁰/³ ³¹	PaHng	ɕ i ³	1	2640	1 7 8 9 3 7 8	AXT_AXT	KA6_SI3	9	9.K.C 9.A.V 9.6.T 9._._ 9.S.C 9.I.V 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa⁰/³+si³¹	0	22 21	10	2
411	EasternBaheng-15_ash-1	Hmongic	ASH	ash	灰	EasternBaheng	Baheng, East	pahn1237	ɕ i ³¹³	646	537	阴上.*阴上	³¹³	PaHng	ɕ i ³	0	2640	3 7 8	AXT	SI6	2	2.S.C 2.I.V 2.6.T	1.6 3.0 1.0	ɕi³¹³	0	21	9	2
412	Jiongnai-15_ash-1	Hmongic	ASH	ash	灰	Jiongnai	Jiongnai	jion1236	θ ei ⁵³	646	537	阴上.*阴上.*阳上	⁵³	JiongnaiBunu	θ e ³	0	2639	3 7 8	AXT	DE3	4	4.D.C 4.E.V 4.3.T	1.6 3.0 1.0	θei⁵³	0	21	9	2
413	Mien-15_ash-1	Mienic	ASH	ash	灰	Mien	Mien	iumi1238	s aːi ⁵³	646	537	阴上	⁵³	luMien	ɕ w ai ³	0	2641	3 7 8	AXT	SA3	6	6.S.C 6.A.V 6.3.T	1.6 3.0 1.0	saːi⁵³	0	21	9	2
414	KimMun-15_ash-1	Mienic	ASH	ash	灰	KimMun	Kim Mun	kimm1245	ʃ aːi ⁵¹	646	537	阴上.阳上.*阴上.*阳上	⁵¹	KimMun	s aːi ³	0	2642	3 7 8	AXT	SA3	5	5.S.C 5.A.V 5.3.T	1.6 3.0 1.0	ʃaːi⁵¹	0	21	9	2
415	BiaoMin-15_ash-1	Mienic	ASH	ash	灰	BiaoMin	Biao Min	biao1254	s ai ³⁵	646	537	阴上	³⁵	BiaoMon	s w ai ³	0	2643	3 7 8	AXT	SA2	1	1.S.C 1.A.V 1.2.T	1.6 3.0 1.0	sai³⁵	0	21	9	2
416	ZaoMin-15_ash-1	Mienic	ASH	ash	灰	ZaoMin	Zao Min	dzao1238	s oi ²⁴	646	537	阴上.*阳平	²⁴	DzaoMin	s ɔi ³	0	2644	3 7 8	AXT	SU2	13	13.S.C 13.U.V 13.2.T	1.6 3.0 1.0	soi²⁴	0	21	9	2
280	WhiteHmong-1167_toask1-1	Hmongic	ASK (INQUIRE)	to ask(1)		WhiteHmong	White Hmong	hmon1333	n u ³¹	1309	309	阳平.阳上.阳去	³¹	HmongDaw	n u ⁶/¹³	0	1610	4 7 8	AXT	NY3	12	12.N.C 12.Y.V 12.3.T	1.6 3.0 1.0	nu³¹	0	39	11	3
4671	EasternLuobuohe-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	EasternLuobuohe	Luobuohe, Eastern	luop1235	n a ²⁴	1309	309	阴去.阳去.*阴去.*阳去	²⁴	Luopohe	n a ᶜ/³	0	1612	4 7 8	AXT	NA2	3	3.N.C 3.A.V 3.2.T	1.6 3.0 1.0	na²⁴	0	39	11	3
4672	WesternLuobuohe-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternLuobuohe	Luobuohe, Western	luop1235	n ɑ ³⁵	1309	309	阴去.阳去.*阴去.*阳去	³⁵	Luopohe	n a ᶜ/³	0	1612	4 7 8	AXT	NA2	10	10.N.C 10.A.V 10.2.T	1.6 3.0 1.0	nɑ³⁵	0	39	11	3
4673	SouthernGuizhouChuanqiandian-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	n o ŋ ¹³	1309	309	阳去.阴入.*阴去.*阳去	¹³	CentralMashanHmong	n o ŋ ⁶/¹³	0	1611	4 7 4 8	AXLT	NUN2	8	8.N.C 8.U.V 8.N.c 8.2.T	1.6 3.0 1.1 1.0	noŋ¹³	0	39	11	3
4674	WesternXiangxi-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternXiangxi	Xiangxi, West	west2430	n e ⁴²	1309	309	0	⁴²	WesternXiangxiMiao	n e ⁶/¹³	0	1609	4 7 8	AXT	NE3	11	11.N.C 11.E.V 11.3.T	1.6 3.0 1.0	ne⁴²	0	39	11	3
4675	NorthernQiandong-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	NorthernQiandong	Qiandong, North	nort2747	n ɛ ¹³	1309	309	阴入.*阴去.*阳去	¹³	NorthernQiandongMiao	n ɛ ⁶/¹³	0	1608	4 7 8	AXT	NE2	7	7.N.C 7.E.V 7.2.T	1.6 3.0 1.0	nɛ¹³	0	39	11	3
4676	WesternBaheng-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternBaheng	Baheng, West	pahn1237	n ei ⁴⁴	1309	309	阳去	⁴⁴	PaHng	n ɪ̃ ⁶/¹³	0	1614	4 7 8	AXT	NE5	9	9.N.C 9.E.V 9.5.T	1.6 3.0 1.0	nei⁴⁴	0	39	11	3
4677	EasternBaheng-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	EasternBaheng	Baheng, East	pahn1237	n e ³¹	1309	309	阳去.阳入	³¹	PaHng	n ɪ̃ ⁶/¹³	0	1614	4 7 8	AXT	NE3	2	2.N.C 2.E.V 2.3.T	1.6 3.0 1.0	ne³¹	0	39	11	3
4678	Jiongnai-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	Jiongnai	Jiongnai	jion1236	n o ¹¹	1309	309	阳去	¹¹	JiongnaiBunu	n ɔ ⁶/¹³	0	1613	4 7 8	AXT	NU1	4	4.N.C 4.U.V 4.1.T	1.6 3.0 1.0	no¹¹	0	39	11	3
4679	Mien-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	Mien	Mien	iumi1238	n aːi ²¹	1309	313	阳去	²¹	luMien	n aːi ⁶/¹³	0	1628	4 7 8	AXT	NA3	6	6.N.C 6.A.V 6.3.T	1.6 3.0 1.0	naːi²¹	0	39	11	3
4680	KimMun-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	KimMun	Kim Mun	kimm1245	n aːi ⁴²	1309	313	阴去.阳去.阴入.阳入	⁴²	KimMun	n aːi ⁶/¹³	0	1629	4 7 8	AXT	NA3	5	5.N.C 5.A.V 5.3.T	1.6 3.0 1.0	naːi⁴²	0	39	11	3
4681	BiaoMin-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	BiaoMin	Biao Min	biao1254	n a ⁴²	1309	313	阳上.阳去	⁴²	BiaoMon	n a ⁶/¹³	0	1630	4 7 8	AXT	NA3	1	1.N.C 1.A.V 1.3.T	1.6 3.0 1.0	na⁴²	0	39	11	3
4682	ZaoMin-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	ZaoMin	Zao Min	dzao1238	n oi ²²	1309	313	阳去.阳入	²²	DzaoMin	n ɔi ⁶/¹³	0	1631	4 7 8	AXT	NU1	13	13.N.C 13.U.V 13.1.T	1.6 3.0 1.0	noi²²	0	39	11	3
2750	EasternLuobuohe-476_on-1	Hmongic	ATOP	on	上边	EasternLuobuohe	Luobuohe, Eastern	luop1235	p ə ⁰/⁵ + s a ³³	57	359	轻声 阴入.阳入.*阴平	⁰/⁵ ³³	Luopohe	s a ᴬ/¹	1	1814	1 7 8 9 3 7 8	AXT_AXT	PE6_SA4	3	3.P.C 3.E.V 3.6.T 3._._ 3.S.C 3.A.V 3.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pə⁰/⁵+sa³³	0	53 54	12	4
2751	WesternLuobuohe-476_on-1	Hmongic	ATOP	on	上边	WesternLuobuohe	Luobuohe, Western	luop1235	χ ə ⁵⁵ + s ɑ ³¹	57	359	阴上.阳上.*阴平.*阴上.*阳上 阴平.阳平.阴入.阳入.*阳平	⁵⁵ ³¹	Luopohe	s a ᴬ/¹	1	1814	3 7 8 9 3 7 8	AXT_AXT	GE5_SA3	10	10.G.C 10.E.V 10.5.T 10._._ 10.S.C 10.A.V 10.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	χə⁵⁵+sɑ³¹	0	56 54	13	4
