Concept	Character	Precision	Recall	F-Score
breasts	奶子/乳房	1.00	0.22	0.35
live(alive)	活着/活的	1.00	0.22	0.37
knee	膝蓋/膝頭	1.00	0.23	0.37
here	这里/这	1.00	0.24	0.39
woman	女人/女的	1.00	0.31	0.47
child	孩子/孩	1.00	0.32	0.49
nose	鼻子/鼻	1.00	0.33	0.49
rope	繩子/繩	1.00	0.33	0.50
sky	天空/天上	1.00	0.34	0.50
claw	爪子/爪	1.00	0.34	0.51
man	男人/男的	1.00	0.34	0.51
rightside	右边/右面	1.00	0.35	0.52
there	那/那里	1.00	0.37	0.54
where	哪里/哪	1.00	0.37	0.54
breathe	呼吸/𢻕氣	1.00	0.37	0.54
night	晚上/夜下	1.00	0.38	0.56
fight	打架/相拍	1.00	0.38	0.56
leftside	左边/左手边	1.00	0.39	0.56
mather	母親/媽媽	1.00	0.39	0.56
father	父親/爸爸	1.00	0.39	0.56
swim	游泳/游水	1.00	0.40	0.57
tongue	舌頭/舌子	1.00	0.40	0.57
louse	虱/虱子	1.00	0.41	0.58
they	他們/渠俫	1.00	0.41	0.58
wing	翅膀/翅	1.00	0.42	0.59
eye	眼睛/眼珠	1.00	0.42	0.60
stick	棍子/棍	1.00	0.43	0.60
neck	脖子/頸	1.00	0.43	0.61
star	星星/星	1.00	0.44	0.61
we	我們/吾伲	1.00	0.44	0.61
float	漂浮/漂	1.00	0.44	0.61
vomit	吐/嘔吐	1.00	0.47	0.64
leaf	叶子/叶	1.00	0.47	0.64
rotten	腐爛/爛	1.00	0.47	0.64
skin	皮膚/皮	1.00	0.47	0.64
split	撕裂/扯破	1.00	0.47	0.64
moon	月亮/月光	1.00	0.47	0.64
what	什麼/啥	1.00	0.48	0.65
see	看見/看着	1.00	0.48	0.65
guts	腸子/腸	1.00	0.48	0.65
narrow	窄/狭	1.00	0.50	0.67
belly	肚子/肚	1.00	0.53	0.69
bone	骨頭/骨	1.00	0.53	0.70
feather	羽毛/毛	1.00	0.53	0.70
husband	老公/丈夫	1.00	0.56	0.72
if	如果/若是	1.00	0.56	0.72
woods	森林/树林	1.00	0.56	0.72
ear	耳朵/耳	1.00	0.57	0.72
how	怎样/怎么	1.00	0.57	0.72
seed	种子/种	1.00	0.57	0.73
tail	尾巴/尾	1.00	0.57	0.73
grease	脂肪/油	1.00	0.58	0.73
bird	鳥/雀	1.00	0.60	0.75
sand	沙子/沙	1.00	0.60	0.75
tooth	牙齒/牙	1.00	0.63	0.78
hear	聽見/聽着	1.00	0.64	0.78
back	背/胛脊	1.00	0.65	0.79
horn	角/角角	1.00	0.66	0.79
wife	老婆/妻子	1.00	0.66	0.79
dust	塵土/灰塵	1.00	0.68	0.81
hair	頭髮/頭毛	1.00	0.69	0.81
egg	雞蛋/雞卵	1.00	0.72	0.84
fruit	水果/果子	1.00	0.73	0.84
lie	躺/倒	1.00	0.73	0.84
mouth	嘴/嘴巴	1.00	0.74	0.85
