ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	STRICTID	LOOSEID	COMMONID	AUTOMORPHEMES	SALIENTID
1461	Beijing	Mandarin	I	uo²¹³	wo²¹³	w o ²¹³	313	I:1ST/我	i n t		我		6 7 8	AXT	WU6	1	1.W.C 1.U.V 1.6.T	1.6 3.0 1.0	0	353	264	495	I	302
1462	Ha_erbin	Mandarin	I	uo²¹³	wo²¹³	w o ²¹³	313	I:1ST/我	i n t		我		6 7 8	AXT	WU6	7	7.W.C 7.U.V 7.6.T	1.6 3.0 1.0	0	353	264	495	I	302
1463	Jinan	Mandarin	I	vɔ⁴⁵	vɔ⁴⁵	v ɔ ⁴⁵	313	I:1ST/我	i n t		我		3 7 8	AXT	BU2	8	8.B.C 8.U.V 8.2.T	1.6 3.0 1.0	0	353	264	495	I	302
1464	Rongcheng	Mandarin	I	uɔ²¹⁴	wɔ²¹⁴	w ɔ ²¹⁴	313	I:1ST/我	i n t		我		6 7 8	AXT	WU6	14	14.W.C 14.U.V 14.6.T	1.6 3.0 1.0	0	353	264	495	I	302
1465	Taiyuan	Jin	I	ɣɤ⁵³	ɣɤ⁵³	ɣ ɤ ⁵³	313	I:1ST/我	i n t		我		3 7 8	AXT	GE3	16	16.G.C 16.E.V 16.3.T	1.6 3.0 1.0	0	353	264	495	I	302
1466	Xi_an	Mandarin	I	ŋɤ⁵³	ŋɤ⁵³	ŋ ɤ ⁵³	313	I:1ST/我	i n t		我		4 7 8	AXT	NE3	18	18.N.C 18.E.V 18.3.T	1.6 3.0 1.0	0	353	264	495	I	302
1467	Chengdu	Mandarin	I	ŋo⁵³	ŋo⁵³	ŋ o ⁵³	313	I:1ST/我	i n t		我		4 7 8	AXT	NU3	3	3.N.C 3.U.V 3.3.T	1.6 3.0 1.0	0	353	264	495	I	302
1468	Nanjing	Mandarin	I	o¹¹	o¹¹	o ¹¹	313	I:1ST/我	n t		我		7 8	XT	U1	13	13.U.V 13.1.T	3.0 1.0	0	353	264	495	I	302
1469	Jixi	Hui	I	ɔ²¹³	ɔ²¹³	ɔ ²¹³	313	I:1ST/我	n t		我		7 8	XT	U6	9	9.U.V 9.6.T	3.0 1.0	0	353	264	495	I	302
1470	Suzhou	Wu	I	ŋəu²³¹	ŋəu²³¹	ŋ əu ²³¹	314	I:1ST/吾	i n t		吾		4 7 8	AXT	NE6	15	15.N.C 15.E.V 15.6.T	1.6 3.0 1.0	0	354	266	497	I	303
1471	Wenzhou	Wu	I	ŋ̍²⁴	ŋ̍²⁴	ŋ̍/ŋ Ø/ə Ø/ŋ ²⁴	313	I:1ST/我	i n c t		我		4 7 4 8	AXLT	NEN2	17	17.N.C 17.E.V 17.N.c 17.2.T	1.6 3.0 1.1 1.0	0	353	264	495	I	302
1472	Changsha	Xiang	I	ŋo⁴¹	ŋo⁴¹	ŋ o ⁴¹	313	I:1ST/我	i n t		我		4 7 8	AXT	NU3	2	2.N.C 2.U.V 2.3.T	1.6 3.0 1.0	0	353	264	495	I	302
1473	Loudi	Xiang	I	ŋ̍⁴²	ŋ̍⁴²	ŋ̍/ŋ Ø/ə Ø/ŋ ⁴²	313	I:1ST/我	i n c t		我		4 7 4 8	AXLT	NEN3	10	10.N.C 10.E.V 10.N.c 10.3.T	1.6 3.0 1.1 1.0	0	353	264	495	I	302
1474	Nanchang	Gan	I	ŋo²¹³	ŋo²¹³	ŋ o ²¹³	313	I:1ST/我	i n t		我		4 7 8	AXT	NU6	12	12.N.C 12.U.V 12.6.T	1.6 3.0 1.0	0	353	264	495	I	302
1475	Meixian	Hakka	I	ŋai¹¹	ŋai¹¹	ŋ ai ¹¹	315	I:1ST/佳	i n t		佳		4 7 8	AXT	NA1	11	11.N.C 11.A.V 11.1.T	1.6 3.0 1.0	0	355	265	496	I	304
1476	Guilin	Pinghua	I	uo²³	wo²³	w o ²³	313	I:1ST/我	i n t		我		6 7 8	AXT	WU2	6	6.W.C 6.U.V 6.2.T	1.6 3.0 1.0	0	353	264	495	I	302
1477	Guangzhou	Yue	I	ŋɔ²³	ŋɔ²³	ŋ ɔ ²³	313	I:1ST/我	i n t		我		4 7 8	AXT	NU2	5	5.N.C 5.U.V 5.2.T	1.6 3.0 1.0	0	353	264	495	I	302
1478	Fuzhou	Min	I	ŋuai³²	ŋwai³²	ŋ w ai ³²	313	I:1ST/我	i m n t		我		4 6 7 8	ACXT	NWA3	4	4.N.C 4.W.C 4.A.V 4.3.T	1.6 1.2 3.0 1.0	0	353	264	495	I	302
